group,WQSC,location,river,state,Latitude,Longitude
"NOT Class C",1907,"RANGAVALI D/S OF NAVAPUR, NANDURBAR",RANGAVALI,MAHARASHTRA,"21.161624","73.793751"
"NOT Class C",1908,"KOLAR BEFORE CONFLUENCE TO KANHAN AT WAREGAON, KAMPTEE, NAGPUR","KOLAR BEFORE CONFLUENCE TO KANHAN",MAHARASHTRA,"21.246917","79.153882"
"NOT Class C",1910,"WAINGANGA AFTER CONLUENCE WITH KANHAN, AMBHORA, KUHI, NAGPUR",,MAHARASHTRA,"19.731126","79.776401"
"NOT Class C",1911,"CHANDRABHAGA U/S OF PANDHARPUR TOWN, GURSALE, PANDHARPUR,",CHANDRABHAGA,MAHARASHTRA,"17.724868","75.323936"
"NOT Class C",1912,"CHANDRABHAGA D/S OF PANDHARPUR TOWN, GURSALE, PANDHARPUR,",CHANDRABHAGA,MAHARASHTRA,"17.677706","75.339011"
"NOT Class C",1913,"PURNA AT DHUPESHWAR, MALKAPUR, AKOLA",PURNA,MAHARASHTRA,"20.933469","76.276878"
"NOT Class C",1928,"DHANSIRI AT NAGALAND- ASSAM BORDER, DIMAPUR",DHANSIRI,NAGALAND,"25.801511","93.606777"
"NOT Class C",1929,"CHATHE AT MEDZIPHEMA, DIMAPUR",CHATHE,NAGALAND,"25.752349","93.869559"
"NOT Class C",1930,"DZU D/S KOHIMA TOWN",DZU,NAGALAND,"25.67564","94.109775"
"Class C",1982,"TAPI AT RANDER BRIDGE, SURAT",TAPI,GUJARAT,"21.194545","72.811552"
"NOT Class C",2,"SABARMATI AT AHMEDABAD AT V.N. BRIDGE",SABARMATI,GUJARAT,"22.982611","72.543139"
"Class C",20048,"SWARG ASHRAM-1",,UTTARAKHAND,"30.116167","78.310696"
"Class C",20049,"LAKKAR GHAT- OXIDATION PONDS",,UTTARAKHAND,"30.053389","78.259472"
"NOT Class C",2058,"DISANG RIVER AT DILLIGHAT, DIBRUGARH","DISANG RIVER",ASSAM,"27.141901","95.36639"
"NOT Class C",2062,"BURHIDIHING NEAR DULIAJAN AT D/S, TINSUKIA, ASSAM","BURHIDIHING NEAR DULIAJAN",ASSAM,"27.321156","95.309064"
"Class C",2064,"BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI","BRAHMAPUTRA RIVER",ASSAM,"26.24776","91.918205"
"Class C",2066,"BRAHMAPUTRA RIVER AT DHUBRI","BRAHMAPUTRA RIVER",ASSAM,"26.015519","89.993294"
"Class C",2067,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP,","BRAHMPUTRA RIVER",ASSAM,"26.160268","91.56994"
"Class C",2069,"BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM","BRAHMPUTRA RIVER NEAR WATER INTAKE POINT",ASSAM,"26.190372","91.745589"
"Class C",2070,"KIM RIVER AT SAHOL BRIDGE, OLPAD HANSOT ROAD, DIST. SURAT","KIM RIVER",GUJARAT,"21.461094","72.726327"
"Class C",2071,"TAPI RIVER AT ONGC BRIDGE AT SURAT, DIST. SURAT","TAPI RIVER",GUJARAT,"21.148919","72.743684"
"Class C",2075,"DHAROI DAM, DIST. MEHSANA.",,GUJARAT,"24.004247","72.854736"
"Class C NOT Class C",2100,"GOUR RIVER BHOGA DOOR, JABALPUR",,"MADHYA PRADESH","23.117239","79.99781"
"Class C",2102,"SHIVNA AT RAMGHAT, MANDSAUR",SHIVNA,"MADHYA PRADESH","24.05703","75.074378"
"NOT Class C",2104,"MALEI AT JAORA",MALEI,"MADHYA PRADESH","23.639659","75.126136"
"Class C",2107,"RIVER BETWA AT U/S AT MAHUTA GHAT, AGASOD","RIVER BETWA","MADHYA PRADESH","25.767472","79.331309"
"Class C",2108,"RIVER BETWA AT M/S J.P. THERMAL POWER, BINA","RIVER BETWA","MADHYA PRADESH","24.317042","78.127198"
"Class C",2109,"PARVATI RIVER, GUNA",,"MADHYA PRADESH","24.634714","77.2978"
"NOT Class C",2110,"KHAN AT SAKKAR KHADI, INDORE",KHAN,"MADHYA PRADESH","22.703191","75.877117"
"NOT Class C",2114,"KUNDA AT KHARGONE",KUNDA,"MADHYA PRADESH","22.168429","75.723814"
"Class C",2115,"TAPI AT NEPA NAGAR 100 METRE D/S AFTER MIXING PANDHAR NALLA",TAPI,"MADHYA PRADESH","21.435417","76.436112"
"NOT Class C",2117,"BICHIA, BRIDGE GOVINDGARH ROAD",,"MADHYA PRADESH","24.518131","81.299578"
"Class C",2119,"BETWA AT NAYAPUR D/S MANDIDEEP INDL. AREA NO.1, DIST.RAISEN",BETWA,"MADHYA PRADESH","23.070703","77.536902"
"Class C",2121,"BETWA NEAR ROAD BRIDGE, BHOJPUR",,"MADHYA PRADESH","23.141901","77.615943"
"NOT Class C",2122,"BETWA NEAR W/S INTAKE WELL POINT RAISEN",,"MADHYA PRADESH","23.333714","77.778319"
"NOT Class C",2124,"BETWA AT CHARANTIRGHAT, VIDISHA",BETWA,"MADHYA PRADESH","23.540606","77.802246"
"NOT Class C",2125,"BETWA D/S AFTER MIXING OF RIVER BAIS AT VIDISHA","BETWA D/S AFTER MIXING OF RIVER BAIS","MADHYA PRADESH","23.550512","77.79947"
"Class C",2126,"PARVATI A/C OF VINDHYACHAL NALLA, PILUKHEDI",,"MADHYA PRADESH","23.495145","77.100818"
"Class C",2127,"DENWA NEAR SARNI, ROAD BRIDGE",,"MADHYA PRADESH","22.124707","78.03034"
"NOT Class C",2155,"PURNA RIVER A/C OF MORNA, ANDURA VILLAGE, BALAPUR,",,MAHARASHTRA,"20.88237","76.856618"
"NOT Class C",2157,"GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON, KALUMB, OSMANABAD","GODAVARI RIVER",MAHARASHTRA,"20.793322","78.139339"
"NOT Class C",2158,"GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI, PAITHAN, AURANGABAD","GODAVARI RIVER",MAHARASHTRA,"19.478228","75.384879"
"NOT Class C",2159,"GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE, PATHEGAON, PAITHAN, AURANGABAD","GODAVARI RIVER",MAHARASHTRA,"19.467269","75.397267"
"NOT Class C",2160,"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE,KAIGAON, GANGAPUR, AURANGABAD","GODAVARI RIVER",MAHARASHTRA,"19.63253","75.028605"
"NOT Class C",2161,"GODAVARI RIVER AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD, AMBAD, JALNA","GODAVARI RIVER",MAHARASHTRA,"19.360024","75.709583"
"Class C",2163,"PANCHAGANGA RIVER AT SHIROL NEAR SHIROL INTAKE WELL, KOLHAPUR","PANCHAGANGA RIVER",MAHARASHTRA,"16.721492","74.594819"
"NOT Class C",2170,"KANHAN RIVER U/S OF M/S VIDHARBHA PAPER MILL, SINORA, PARSEONI, NAGPUR","KANHAN RIVER",MAHARASHTRA,"21.206788","79.246193"
"NOT Class C",2171,"KANHAN RIVER D/S OF M/S VIDHARBHA PAPER MILL, SINORA, PARSEONI, NAGPUR","KANHAN RIVER",MAHARASHTRA,"21.209724","79.236711"
"NOT Class C",2173,"WAINGANGA RIVER U/S OF ELLORA PAPER MILL, TUMSAR, TUMSAR, BHANDARA","WAINGANGA RIVER",MAHARASHTRA,"21.380729","79.745477"
"NOT Class C",2174,"WARDHA RIVER D/S OF ACC GHUGGUS, CHANDRAPUR, CHANDRAPUR","WARDHA RIVER",MAHARASHTRA,"19.922574","79.113955"
"NOT Class C",2175,"WAINGANGA U/S OF GAURAV PAPER MILLS, NEAR JACKWELL, BRAMHPURI, CHANDRAPUR",WAINGANGA,MAHARASHTRA,"20.609867","79.857681"
"NOT Class C",2176,"WAINGANGA D/S OF GAURAV PAPER MILLS, NEAR JACKWELL, BRAMHPURI, CHANDRAPUR",WAINGANGA,MAHARASHTRA,"20.610126","79.858051"
"NOT Class C",2177,"GODAVARI RIVER NEAR SOMESHWAR TEMPLE, SOMESHWAR, NASHIK",,MAHARASHTRA,"20.022812","73.728178"
"NOT Class C",2180,"GODAVARI RIVER AT TAPOVAN, TAPOVAN, NASHIK","GODAVARI RIVER",MAHARASHTRA,"19.987307","73.811028"
"NOT Class C",2181,"GODAVARI RIVER AT KAPILA- GODAVARI CONFLUENCE POINT, TAPOVAN, NASHIK","GODAVARI RIVER",MAHARASHTRA,"19.98729","73.811026"
"NOT Class C",2182,"GODAVARI RIVER AT SAIKHEDA, NIPHAD, NASHIK","GODAVARI RIVER",MAHARASHTRA,"20.014695","74.007463"
"NOT Class C",2183,"GODAVARI RIVER AT NANDUR- MADMESHWAR DAM, NANDUR, NASHIK","GODAVARI RIVER",MAHARASHTRA,"20.012385","74.113719"
"NOT Class C",2186,"VENNA RIVER AT VARYE, SATARA.","VENNA RIVER",MAHARASHTRA,"17.732719","73.991512"
"NOT Class C",2187,"KRISHNA RIVER AT KSHETRA MAHULI, MAHULI, SATARA","KRISHNA RIVER",MAHARASHTRA,"17.688548","74.063324"
"NOT Class C",2188,"KRISHNA RIVER AT KRISHNA- VENNA SANGAM AT MAHULI, SATARA","KRISHNA RIVER",MAHARASHTRA,"17.688252","74.063303"
"NOT Class C",2189,"KOYNA RIVER AT KARAD, SATARA","KOYNA RIVER",MAHARASHTRA,"17.278589","74.183705"
"NOT Class C",2190,"KRISHNA RIVER AT WAI, SATARA","KRISHNA RIVER",MAHARASHTRA,"17.949284","73.891316"
"NOT Class C",2191,"MUTHA RIVER AT SANGAM BRIDGE NEAR GANAPATHY GHAT, SHIVAJINAGAR, PUNE","MUTHA RIVER",MAHARASHTRA,"18.532374","73.843415"
"NOT Class C",2192,"MULA-MUTHA RIVER AT MUNDHAWA BRIDGE, MUNTHAWA,HAWELI, PUNE","MULA-MUTHA RIVER",MAHARASHTRA,"18.535371","73.933306"
"NOT Class C",2193,"MULA RIVER AT AUNDH BRIDGE, AUNDHGAON, HAWELI, PUNE","MULA RIVER",MAHARASHTRA,"18.567737","73.811752"
"NOT Class C",2194,"MULA RIVER AT HARRISON BRIDGE NEAR MULA- PAWANA SANGAM, BOPODI, HAWELI,","MULA RIVER",MAHARASHTRA,"18.5746","73.836055"
"NOT Class C",2195,"NIRA RIVER AT D/S OF JUBILANT ORGANOSIS, NIMBUT, BARAMATI,PUNE.","NIRA RIVER",MAHARASHTRA,"18.103405","74.234805"
"NOT Class C",2196,"PAWANA RIVER AT SANGAVIGAON, HAWELI PUNE.","PAWANA RIVER",MAHARASHTRA,"18.670292","73.681639"
"NOT Class C",2197,"INDRAYANI RIVER AT D/S OF ALANDIGAON, HAWELI,PUNE","INDRAYANI RIVER",MAHARASHTRA,"18.682216","73.900116"
"NOT Class C",2230,"BURHIDIHING RIVER AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.), ASSAM","BURHIDIHING RIVER",ASSAM,"27.320585","95.308605"
"Class C",2231,"DIKHOW RIVER AT DIKHOW BRIDGE SIVASAGAR, ASSAM","DIKHOW RIVER",ASSAM,"26.975605","94.630335"
"NOT Class C",2283,"YAMUNA AT HAMIRPUR",YAMUNA,"UTTAR PRADESH","25.956967","80.157122"
"NOT Class C",23,"SUBARNAREKHA AT RANCHI, (TATISILWAI)",SUBARNAREKHA,JHARKHAND,"23.377028","85.423056"
"NOT Class C",2339,"RIVER MUSI AT NAGOLE, RANGAREDDY","RIVER MUSI",TELANGANA,"17.382722","78.557775"
"NOT Class C",2349,"NAKKAVAGU, BACHUGUDEM, MEDAK",,TELANGANA,"18.351114","78.73601"
"Class C",2350,"RIVER HUNDRI AT JOHARAPURAM(V), NEAR TEMPLE, KURNOOL","RIVER HUNDRI","ANDHRA PRADESH","15.819061","78.056866"
"Class C",2351,"RIVER KUNDU, NANDYAL, NEAR OVER BDG., KURNOOL",,"ANDHRA PRADESH","15.49","78.4748"
"NOT Class C",2356,"GODAVARI, D/S OF RAMANUGUNDAM, MANTHANI","GODAVARI,",TELANGANA,"18.727075","79.620161"
"NOT Class C",2360,"GODAVARI AT BASARA, ADILABAD",GODAVARI,TELANGANA,"18.868297","77.962194"
"NOT Class C",2361,"GODAVARI AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",GODAVARI,TELANGANA,"18.838133","79.441697"
"NOT Class C",2362,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",GODAVARI,TELANGANA,"18.819131","79.468017"
"NOT Class C",2363,"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNAGAR",GODAVARI,TELANGANA,"18.781656","79.513558"
"NOT Class C",2364,"GODAVARI AT RAMAGUNDAM U/S , KARIMNAGAR",GODAVARI,TELANGANA,"18.786369","79.521028"
"NOT Class C",2365,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",GODAVARI,TELANGANA,"18.288014","80.492375"
"NOT Class C",2366,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",GODAVARI,TELANGANA,"18.263814","80.538533"
"NOT Class C",2367,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",GODAVARI,TELANGANA,"17.674897","80.883094"
"NOT Class C",2368,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",GODAVARI,TELANGANA,"17.655586","80.876653"
"NOT Class C",2369,"GODAVARI AT BURGAMPAHAD, KHAMMAM",GODAVARI,TELANGANA,"17.648483","80.8775"
"Class C",2370,"GODAVARI AT RAJAMUNDRY U/s OF NALLA CHANNEL, EAST GODAVARI DISTRICT",GODAVARI,"ANDHRA PRADESH","17.023186","81.768181"
"Class C",2371,"GODAVARI AT RAJAMUNDRY D/s OF NALLA CHANNEL, EAST GODAVARI DISTRICT",GODAVARI,"ANDHRA PRADESH","16.958989","81.78175"
"NOT Class C",2372,"KINNERASANI A/C OF KTPS ASH POND EFFLUENTS, KHAMMAM",,TELANGANA,"17.224489","80.127061"
"NOT Class C",2373,"SABARI AT KUNAVARAM, KHAMMAM",SABARI,TELANGANA,"17.616333","81.286295"
"NOT Class C",2374,"MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU",MANJEERA,TELANGANA,"17.64797","78.143382"
"NOT Class C",2375,"MANJEERA AT GOWDICHARLA A/C WITH NAKKAVAGU",MANJEERA,TELANGANA,"17.650778","78.134958"
"NOT Class C",2378,"DAMODAR D/S BHAIRABI AT RAJRAPPA","DAMODAR D/S BHAIRABI",JHARKHAND,"23.633408","85.709433"
"NOT Class C",2379,"NALKARI TRIBUTARY AT PATRATU","NALKARI TRIBUTARY",JHARKHAND,"23.652631","85.318525"
"NOT Class C",2380,"DAMODAR AT RAMGARH ROAD BRIDGE",DAMODAR,JHARKHAND,"23.640906","85.510328"
"NOT Class C",2381,"BOKARO AT ZARANGDIH BRIDGE",BOKARO,JHARKHAND,"23.770609","85.922067"
"NOT Class C",2382,"DAMODAR AT PHUSRO ROAD BRIDGE",DAMODAR,JHARKHAND,"23.761172","86.011903"
"NOT Class C",2383,"DAMODAR U/S JAMADOBA WATER WORKS",DAMODAR,JHARKHAND,"23.700981","86.372953"
"NOT Class C",2385,"SUBARNAREKHA AT NAMKUM ROAD BRIDGE",SUBARNAREKHA,JHARKHAND,"23.33402","85.359996"
"NOT Class C",2386,"SUBARNAREKHA AT MURI ROAD BRIDGE",SUBARNAREKHA,JHARKHAND,"23.368919","85.875506"
"NOT Class C",2387,"SUBAREKHA AT GHATISLA ROAD BRIDGE",SUBAREKHA,JHARKHAND,"22.592839","86.446667"
"NOT Class C",2388,"KONAR AT TILAYA DAM",KONAR,JHARKHAND,"24.324314","85.522031"
"NOT Class C",2389,"KONAR AT KONAR DAM",KONAR,JHARKHAND,"23.925367","85.765203"
"NOT Class C",2390,"KONAR AT TENUGHAT DAM",KONAR,JHARKHAND,"23.780586","85.876131"
"NOT Class C",2391,"DAMODAR AT PANCHET DAM",DAMODAR,JHARKHAND,"23.681006","86.751872"
"Class C",2395,"SUBARNAREKHA AT HATIA DAM",SUBARNAREKHA,JHARKHAND,"23.2907","85.255961"
"NOT Class C",2396,"JUMAR AT KANKE DAM",JUMAR,JHARKHAND,"23.455233","85.310539"
"Class C",2397,"SUBARNAREKHA AT GATALSUD DAM",SUBARNAREKHA,JHARKHAND,"23.454046","85.471177"
"NOT Class C",2399,"SUBARNAREKHA AT CHANDIL DAM",SUBARNAREKHA,JHARKHAND,"22.97194","86.023097"
"NOT Class C",24,"SUBARNAREKHA AT JAMSHEDPUR",SUBARNAREKHA,JHARKHAND,"22.761694","86.317722"
"Class C",2404,"MAHANADI POWER CHANNEL D/S NEAR BURLA","MAHANADI POWER CHANNEL",ODISHA,"21.489937","83.889449"
"Class C",2405,"MAHANADI AT SAMBHALPUR FD/s AT HUMA",MAHANADI,ODISHA,"21.466747","83.980098"
"Class C",2406,"MAHANADI AT MUNDALI (WATER INTAKE POINT OF BHUBANESWAR CITY)",MAHANADI,ODISHA,"20.470289","85.764033"
"Class C",2407,"MAHANADI AT PARADEEP U/S (BEFORE INDUSTRIAL ACTIVITY AT PARADEEP)",MAHANADI,ODISHA,"20.332506","86.573781"
"NOT Class C",2409,"SERUA AT CUTTACK FD/s (SERUA) AT SANKHATRASA",SERUA,ODISHA,"20.395008","85.907675"
"Class C",2410,"KUAKHAI AT BHUBANESWAR FU/s",KUAKHAI,ODISHA,"20.32735","85.861197"
"NOT Class C",2411,"DAYA AT BHUBANESWAR FD/s ( 2 KM AFTER CONFLUENCE OF GANGUA NALLAH WITH RIVER DAYA)",DAYA,ODISHA,"20.139142","85.758142"
"Class C",2412,"SANKHA U/s ( D/S OF MANDIRA DAM)","SANKHA U/s (",ODISHA,"22.249467","84.749906"
"Class C",2415,"BRAHMANI AT TALCHER FU/s (INTAKE WELL OF MCL, TALCHER)",BRAHMANI,ODISHA,"20.996256","85.248842"
"Class C",2416,"BRAHMANI AT TALCHER FD/s",BRAHMANI,ODISHA,"20.825086","85.316236"
"Class C",2417,"BRAHAMNI AT DHENKANAL D/S, DHENKANAL TOWN",BRAHAMNI,ODISHA,"20.746464","85.5563"
"Class C",2418,"BRAHMANI AT KABATABANDHA (BEFORE IMPACT OF INDUSTRIAL ACTIVITY IN KALINGANAGAR AREA)",BRAHMANI,ODISHA,"20.889011","86.010639"
"Class C",2419,"KHARASROTA AT KHANDITARA (D/S OF INDUSTRIAL ACTIVITIES AT KALINGA NAGAR)",KHARASROTA,ODISHA,"20.853192","86.200283"
"Class C",2420,"KHARASROTA AT AUL",KHARASROTA,ODISHA,"20.694244","86.652433"
"NOT Class C",2421,"KUSEI BEFORE JOINING WITH BAITARANI RIVER AT ANANDPUR, DEOGAON","KUSEI BEFORE JOINING WITH BAITARANI RIVER",ODISHA,"21.325488","86.064444"
"NOT Class C",2482,"RIVER VARUNA AT RAMESHWAR, VARANASI","RIVER VARUNA","UTTAR PRADESH","25.386717","82.852628"
"NOT Class C",2483,"RIVER VARUNA B/C WITH RIVER GANGA AT VARANASI","RIVER VARUNA B/C WITH RIVER GANGA","UTTAR PRADESH","25.332956","83.043393"
"NOT Class C",2484,"RIVER SAI AT JALALPUR, JAUNPUR","RIVER SAI","UTTAR PRADESH","25.629922","82.756208"
"NOT Class C",2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",,"UTTAR PRADESH","25.244031","82.418272"
"NOT Class C",2486,"GANGA D/S, MIRZAPUR",,"UTTAR PRADESH","25.177058","82.602225"
"NOT Class C",2487,"GANGA AT KADAGHAT, ALLAHABAD",GANGA,"UTTAR PRADESH","25.443124","81.887148"
"Class C",2488,"GANGA U/S, ANOOPSHAHAR",,"UTTAR PRADESH","28.364396","78.270269"
"Class C",2489,"GANGA D/S, ANOOPSHAHAR",,"UTTAR PRADESH","28.274208","78.324338"
"Class C",2490,"GANGA AT KACHHLA GHAT, ALIGARH",GANGA,"UTTAR PRADESH","27.927803","78.866289"
"NOT Class C",2491,"RIVER RAPTI AT RAJGHAT, GORAKHPUR","RIVER RAPTI","UTTAR PRADESH","26.733174","83.347894"
"NOT Class C",2492,"RIVER GHAGHARA AT BARHALGANJ, GORAKHPUR","RIVER GHAGHARA","UTTAR PRADESH","26.278524","83.513885"
"NOT Class C",2493,"RIVER YAMUNA AT SHAHPUR","RIVER YAMUNA","UTTAR PRADESH","29.604121","77.109833"
"NOT Class C",2494,"YAMUNA AT VISHRAMGHAT, MATHURA",YAMUNA,"UTTAR PRADESH","27.504755","77.686524"
"NOT Class C",2495,"YAMUNA AT KESIGHAT, VRINDAVAN",YAMUNA,"UTTAR PRADESH","27.586087","77.696364"
"NOT Class C",2496,"RIVER HINDON AT SARDHANA BUDHANA ROAD, VILLAGE BAPARSI, MEERUT","RIVER HINDON","UTTAR PRADESH","29.186169","77.494114"
"NOT Class C",2497,"RIVER KALI EAST AT KHARKHODA-PARIKSHIT GARH ROAD, VILL. KOL, MEERUT","RIVER KALI EAST","UTTAR PRADESH","28.980857","77.790428"
"NOT Class C",2498,"GANGA AT KALA KANKAR, RAEBARELI",GANGA,"UTTAR PRADESH","25.774293","81.382673"
"Class C",25,"KRISHNA AT VIJAYWADA, KRISHNA",KRISHNA,"ANDHRA PRADESH","16.492476","80.640839"
"NOT Class C",2506,"TRIBENI ON GANGA, NEAR BURNING GHAT, HOOGHLY",,"WEST BENGAL","22.984402","88.40197"
"NOT Class C",2509,"D/S OF RUPNARAYAN AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3,MEDINIPORE€","D/S OF RUPNARAYAN","WEST BENGAL","22.437711","87.880747"
"NOT Class C",2511,"NABADIP ON GANGA, GHOSHPARA NEAR MONIPURGHAT,NADIA",,"WEST BENGAL","23.386728","88.364884"
"NOT Class C",2514,"JALANGI, D/S OF KRISHNA NAGAR, NADIA","JALANGI,","WEST BENGAL","23.413356","88.471892"
"NOT Class C",2518,"CHURNI, MAJHADIA, NADIA",,"WEST BENGAL","23.197644","88.573014"
"NOT Class C",2527,"DAMODAR AT WATER INTAKE POINT FOR BURDWAN TOWN,",DAMODAR,"WEST BENGAL","23.206144","87.850831"
"NOT Class C",2531,"U/S OF TARAPITH ON RIVER DWARKA AT SADHAK BAMDEB GHAT, BIRBHUM","U/S OF TARAPITH ON RIVER DWARKA","WEST BENGAL","24.11604","87.797555"
"NOT Class C",2532,"D/S OF TARAPITH ON RIVER DWARKA, SATIGHAT",,"WEST BENGAL","24.111261","87.794355"
"NOT Class C",2541,"DWARAKESHWAR AT WATER INTAKE POINT FOR BANKURA TOWN ON RIVER DWARAKESHWAR, BANKURA",DWARAKESHWAR,"WEST BENGAL","23.213568","87.076517"
"NOT Class C",2551,"GANGA AT BUXAR, RAMREKHAGHAT",GANGA,BIHAR,"25.576142","83.970428"
"NOT Class C",2552,"GANGA AT GANDHIGHAT, NIT AT PATNA",GANGA,BIHAR,"25.622179","85.172816"
"NOT Class C",2553,"GANGA AT KEWALA GHAT,FATUHA, PATNA",GANGA,BIHAR,"25.511611","85.307417"
"NOT Class C",2554,"GANGA AT SULTANGANJ, BHAGALPUR",GANGA,BIHAR,"25.257511","86.747053"
"NOT Class C",2556,"SONE AT INDRAPURI, DEHRI ON SONE, ROHTAS",SONE,BIHAR,"24.902403","84.2074"
"NOT Class C",2558,"HARBORA RIVER AT NARKATIAGANJ, WEST CHAMPARAN","HARBORA RIVER",BIHAR,"27.105529","84.454541"
"NOT Class C",2559,"RAMREKHA RIVER AT HARINAGAR, WEST CHAMPARAN","RAMREKHA RIVER",BIHAR,"27.170083","84.322471"
"NOT Class C",2560,"D/S DAHA RIVER AT SASAMUSA, GOPALGANJ","D/S DAHA RIVER",BIHAR,"26.520035","84.357095"
"NOT Class C",2561,"DAHA RIVER AT ITWA BRIDGE, GOPALGANJ","DAHA RIVER",BIHAR,"26.223497","84.347097"
"NOT Class C",2562,"BURHI GANDAK AT AKHARAGHAT, MUZAFFARPUR","BURHI GANDAK",BIHAR,"26.138571","85.388808"
"NOT Class C",2563,"MANUSMAR RIVER AT RIGA, SITAMARHI","MANUSMAR RIVER",BIHAR,"26.576389","85.317222"
"NOT Class C",2564,"GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",GANGA,BIHAR,"25.708441","84.889727"
"NOT Class C",2565,"KOSHI RIVER AT KURSHELA AT KATIHAR","KOSHI RIVER",BIHAR,"25.42082","87.236262"
"NOT Class C",2566,"KOSHI RIVER AT MADHEPURA","KOSHI RIVER",BIHAR,"25.930352","86.801274"
"NOT Class C",2567,"KAMLA RIVER AT BENIPATTI (MADHUBANI)","KAMLA RIVER",BIHAR,"26.269758","86.268875"
"NOT Class C",2568,"GANDAK AT REWAGHAT, MUJAFFARPUR",GANDAK,BIHAR,"25.988349","85.045545"
"NOT Class C",2569,"KAMLA RIVER AT DARBHANGA","KAMLA RIVER",BIHAR,"26.135844","86.333137"
"NOT Class C",2570,"BURHI GANDAK AT Z ROAD BRIDGE, SAMASTIPUR","BURHI GANDAK",BIHAR,"25.867123","85.784927"
"NOT Class C",2575,"SIKRANA RIVER AT LAL PARSE, BITTIAH, EAST CHAMPARAN","SIKRANA RIVER",BIHAR,"26.560646","85.052409"
"Class C",2601,"BEAS AT D/S MANALI",BEAS,"HIMACHAL PRADESH","32.263247","77.185664"
"Class C",2602,"BEAS AT U/S KULLU",BEAS,"HIMACHAL PRADESH","31.958136","77.115783"
"Class C",2603,"BEAS AT D/S PANDOH DAM",BEAS,"HIMACHAL PRADESH","31.686472","77.045619"
"Class C",2604,"BEAS AT D/S JAISINGHPUR",BEAS,"HIMACHAL PRADESH","31.880753","76.614514"
"Class C",2605,"PARVATI AT U/S MANIKARAN",PARVATI,"HIMACHAL PRADESH","32.027531","77.348536"
"Class C",2606,"PARVATI AT D/S MANIKARAN",PARVATI,"HIMACHAL PRADESH","32.019789","77.331117"
"Class C",2607,"SUKETI KHAD AT D/S MANDI","SUKETI KHAD","HIMACHAL PRADESH","31.756389","76.936111"
"Class C",2608,"BINWA AT D/S PAPROLA/BAIJNATH",BINWA,"HIMACHAL PRADESH","32.052972","76.649286"
"Class C",2609,"NEUGAL AT D/S THURAL",NEUGAL,"HIMACHAL PRADESH","31.908625","76.466739"
"Class C",2610,"SPITI AT KHAB",SPITI,"HIMACHAL PRADESH","31.806619","78.641953"
"Class C",2611,"SUTLEJ AT KHAB",SUTLEJ,"HIMACHAL PRADESH","31.798494","78.639769"
"Class C",2612,"BASPA AT U/S RESERVOIR BASPA PROJECT",BASPA,"HIMACHAL PRADESH","31.389297","78.353714"
"Class C",2613,"RAVI AT D/S OF CHAMBA TOWN",RAVI,"HIMACHAL PRADESH","32.57045","76.119792"
"Class C",2614,"RAVI AT AT CHAMERA RESERVOIR",RAVI,"HIMACHAL PRADESH","32.6083","76.013308"
"Class C",2615,"RAVI AT D/S AT CHAMERA III HEP",RAVI,"HIMACHAL PRADESH","32.596661","75.992383"
"Class C",2616,"SIUEL AT D/S SURGANI",SIUEL,"HIMACHAL PRADESH","32.721486","76.089586"
"Class C",2617,"PABBAR AT U/S DHAMBARI",PABBAR,"HIMACHAL PRADESH","31.126891","77.74353"
"Class C",2618,"PABBAR AT U/S ROHRU",PABBAR,"HIMACHAL PRADESH","31.200297","77.753211"
"NOT Class C",2619,"PABBAR AT D/S SWARAKUDDU",PABBAR,"HIMACHAL PRADESH","31.083417","77.802406"
"Class C",2620,"ASHWANI AT U/S YASHWANT NAGAR",ASHWANI,"HIMACHAL PRADESH","30.892361","77.210569"
