group,WQSC,location,river,state,Latitude,Longitude
"NOT Class C",1039,"BRAHMANI AT BONAIGARH",BRAHMANI,ODISHA,"21.820606","84.9516"
"Class C",1040,"BRAHMANI AT RENGALI",BRAHMANI,ODISHA,"21.276098","85.035007"
"Class C",1041,"BRAHMANI AT SAMAL",BRAHMANI,ODISHA,"21.074527","85.142032"
"Class C",1042,"BRAHMANI AT KAMALANGA (TALCHER D/s)",BRAHMANI,ODISHA,"20.867785","85.278472"
"Class C",1043,"BRAHMANI AT BHUBAN",BRAHMANI,ODISHA,"20.879162","85.835492"
"NOT Class C",1044,"BRAHMANI AT DHARMASHALA U/s",BRAHMANI,ODISHA,"20.770422","86.149638"
"NOT Class C",1045,"BRAHMANI AT PATTAMUNDAI",BRAHMANI,ODISHA,"20.585906","86.568249"
"NOT Class C",1046,"GANGA AT ALLAHABAD (RASOOLABAD)",GANGA,"UTTAR PRADESH","25.502474","81.855439"
"NOT Class C",1049,"GANGA AT ALLAHABAD D/S (SANGAM)",GANGA,"UTTAR PRADESH","25.419206","81.900522"
"NOT Class C",1052,"GANGA AT ULUBERIA , HOWRAH,WEST BENGAL",GANGA,"WEST BENGAL","22.453473","88.115051"
"NOT Class C",1053,"GANGA AT DAKSHMINESHWAR, KOLKATA, WEST BENGAL",GANGA,"WEST BENGAL","22.653061","88.357589"
"NOT Class C",1054,"GANGA AT PALTA",GANGA,"WEST BENGAL","22.780189","88.3338"
"NOT Class C",1059,"GANGA AT RAJMAHAL,",GANGA,JHARKHAND,"25.056707","87.831867"
"Class C",1060,"GANGA AT RISHIKESH U/S",GANGA,UTTARAKHAND,"30.115135","78.307032"
"Class C",1061,"GANGA AT HARIDWAR D/S, UPPER GANGA CANAL D/S BALKUMARI MANDIR,",GANGA,UTTARAKHAND,"29.945254","78.164675"
"Class C",1062,"GANGA AT GARHMUKTESHWAR",GANGA,"UTTAR PRADESH","28.76062","78.143766"
"NOT Class C",1063,"GANGA AT KANNAUJ U/S (RAJGHAT)",GANGA,"UTTAR PRADESH","27.138451","79.930775"
"NOT Class C",1064,"RAMGANGA AT KANNAUJ (BEFORE CONF.), U.P",RAMGANGA,"UTTAR PRADESH","27.190822","79.818261"
"NOT Class C",1065,"KALINADI AT KANNAUJ (BEFORE CONF.), U.P",KALINADI,"UTTAR PRADESH","27.161314","79.919914"
"NOT Class C",1066,"GANGA AT KANNAUJ D/S",GANGA,"UTTAR PRADESH","27.010953","79.986442"
"NOT Class C",1067,"GANGA AT KANPUR U/S (RANIGHAT)",GANGA,"UTTAR PRADESH","26.505542","80.314344"
"NOT Class C",1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION)",GANGA,"UTTAR PRADESH","26.436185","80.40961"
"NOT Class C",1069,"YAMUNA AT ALLAHABAD D/S (BALUA GHAT), U.P",YAMUNA,"UTTAR PRADESH","25.422471","81.838806"
"NOT Class C",1070,"GANGA AT VARANASI U/S (ASSIGHAT)",GANGA,"UTTAR PRADESH","25.289358","83.006389"
"NOT Class C",1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE)",GANGA,"UTTAR PRADESH","25.321486","83.035285"
"NOT Class C",1072,"GOMTI AT VARANASI, U.P",GOMTI,"UTTAR PRADESH","25.507856","83.158181"
"NOT Class C",1073,"GANGA AT TRIGHAT (GHAZIPUR)",GANGA,"UTTAR PRADESH","25.578175","83.609594"
"NOT Class C",1074,"GANGA AT BUXAR",GANGA,BIHAR,"25.573508","83.966669"
