group,WQSC,location,river,state,Latitude,Longitude,Colour,ColourFill
"Class C",2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",,MAHARASHTRA,"20.992627","74.314042",blue,"#00f"
"NOT Class C",2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",,MAHARASHTRA,"18.540021","72.930604",red,"#f03"
"NOT Class C",2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER PUMPING STATION-SWEET ZONE), ROHA","KUNDALIKA RIVER",MAHARASHTRA,"18.417164","73.161162",red,"#f03"
"NOT Class C",2673,"MANJEERA RIVER AT D/S OF LATUR, NEAR LATUR- NANDED BRIDGE AT BHATKHEDA, LATUR.","MANJEERA RIVER",MAHARASHTRA,"18.429431","76.668723",red,"#f03"
"NOT Class C",2674,"MOR RIVER, NEAR PADALSHE VILLAGE, JALGAON.",,MAHARASHTRA,"21.105797","75.798376",red,"#f03"
"NOT Class C",2675,"MORNA RIVER AT D/S OF RAILWAY BRIDGE AT AKOLA.","MORNA RIVER",MAHARASHTRA,"20.714779","76.957569",red,"#f03"
"NOT Class C",2676,"MUCHKUNDI RIVER AT WAKED,RATNAGIRI, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.","MUCHKUNDI RIVER",MAHARASHTRA,"16.773972","73.582761",red,"#f03"
"NOT Class C",2677,"MULA-MUTHA RIVER AT D/S OF THEUR, HAWELI, PUNE","MULA-MUTHA RIVER",MAHARASHTRA,"18.521663","74.050564",red,"#f03"
"NOT Class C",2678,"MUTHA RIVER NEAR VEER SAVARKAR BHAVAN, PUNE.",,MAHARASHTRA,"18.521303","73.850578",red,"#f03"
"NOT Class C",2680,"MUTHA RIVER AT KHADAKVASLA DAM, KHADAKVASLA, HAWELI, PUNE.","MUTHA RIVER",MAHARASHTRA,"18.430149","73.754941",red,"#f03"
"NOT Class C",2681,"NIRA RIVER AT SANGAVI, PHALTAN, SATARA","NIRA RIVER",MAHARASHTRA,"18.055999","74.483941",red,"#f03"
"NOT Class C",2682,"NIRA RIVER AT U/S OF JUBILANT ORGANOSIS, BARAMATI, PUNE.","NIRA RIVER",MAHARASHTRA,"18.097756","74.213675",red,"#f03"
"NOT Class C",2683,"NIRA RIVER AT SHINDEWADI, SHIRVAL, KHANDALA, SATARA","NIRA RIVER",MAHARASHTRA,"18.147434","73.977285",red,"#f03"
"Class C",2684,"PANZARA RIVER, NEAR PANZARAKAN SSK LTD., DHULE.",,MAHARASHTRA,"21.11316","74.885213",blue,"#00f"
"NOT Class C",2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.","PATALGANGA RIVER",MAHARASHTRA,"18.839498","73.093677",red,"#f03"
"NOT Class C",2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.","PATALGANGA RIVER",MAHARASHTRA,"18.830846","73.284151",red,"#f03"
"NOT Class C",2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.","PATALGANGA RIVER",MAHARASHTRA,"18.824941","73.284358",red,"#f03"
"NOT Class C",2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.","PATALGANGA RIVER",MAHARASHTRA,"18.864821","73.203322",red,"#f03"
"NOT Class C",2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.","PATALGANGA RIVER",MAHARASHTRA,"18.786149","73.353487",red,"#f03"
"NOT Class C",2690,"PAWNA RIVER AT KASARWADI, HAWELI, PUNE.","PAWNA RIVER",MAHARASHTRA,"18.60677","73.821067",red,"#f03"
"NOT Class C",2691,"PAWNA RIVER AT DAPODI BRIDGE, AT PAWANA- MULLA SANGAM,PUNE.","PAWNA RIVER",MAHARASHTRA,"18.582775","73.826155",red,"#f03"
"NOT Class C",2692,"PAWNA RIVER AT RAVET WEIR, PUNE.","PAWNA RIVER",MAHARASHTRA,"18.660929","73.731891",red,"#f03"
"NOT Class C",2693,"PAWNA RIVER AT CHINCHWADGAON, PUNE.","PAWNA RIVER",MAHARASHTRA,"18.641184","73.792731",red,"#f03"
"NOT Class C",2694,"PAWNA RIVER AT PIMPRIGAON, PUNE.","PAWNA RIVER",MAHARASHTRA,"18.607788","73.797949",red,"#f03"
"NOT Class C",2695,"PEDHI RIVER NEAR ROAD BRIDGE AT DADHI-PEDHI VILLAGE, BHATKULI, AMRAVATI","PEDHI RIVER NEAR ROAD BRIDGE",MAHARASHTRA,"20.999942","77.705722",red,"#f03"
"NOT Class C",2697,"PENGANGA RIVER NEAR WATER SUPPLY SCHEME OF UMARKHED MC BELKHED, UMARKHED, YAVATMAL",,MAHARASHTRA,"19.597589","77.691614",red,"#f03"
"NOT Class C",2698,"PENGANGA RIVER D/S OF ISAPUR DAM, ISAPUR, PUSAD, YAVATMAL","PENGANGA RIVER",MAHARASHTRA,"19.724881","77.446567",red,"#f03"
"NOT Class C",2699,"PENGANGA RIVER AT MEHKAR-BULDANA ROAD BRIDGE, MEHKAR, BULDANA","PENGANGA RIVER",MAHARASHTRA,"20.150364","76.560336",red,"#f03"
"NOT Class C",2700,"PURNA RIVER NEAR ACHALPUR-AMRAVATI ROAD BRIDGE, ASEGAON, CHANDUR BAZAR, AMRAVATI",,MAHARASHTRA,"21.129844","77.57423",red,"#f03"
"NOT Class C",2701,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD","SAVITRI RIVER JACKWELL",MAHARASHTRA,"18.081171","73.424651",red,"#f03"
"NOT Class C",2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD","SAVITRI RIVER",MAHARASHTRA,"18.082172","73.422625",red,"#f03"
"NOT Class C",2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH","SAVITRI RIVER",MAHARASHTRA,"18.076912","73.420032",red,"#f03"
"NOT Class C",2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH","SAVITRI RIVER",MAHARASHTRA,"18.065276","73.397825",red,"#f03"
"NOT Class C",2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE","SURYA RIVER,",MAHARASHTRA,"19.6974","72.850991",red,"#f03"
"NOT Class C",2707,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE","SURYA RIVER",MAHARASHTRA,"19.789967","72.8353",red,"#f03"
"NOT Class C",2708,"SURYA RIVER AT INTAKE OF VASAI-VIRAR W/S SCHEME, MASVAN, PALGHAR, THANE","SURYA RIVER",MAHARASHTRA,"19.697697","72.851039",red,"#f03"
"NOT Class C",2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",,MAHARASHTRA,"19.484789","73.082394",red,"#f03"
"NOT Class C",2710,"TITUR RIVER, D/S OF CHALISGAON, JALGOAN.","TITUR RIVER,",MAHARASHTRA,"20.470053","75.025947",red,"#f03"
"NOT Class C",2711,"URMODI RIVER AT NAGTHANE, SATARA.","URMODI RIVER",MAHARASHTRA,"17.570306","74.050736",red,"#f03"
"NOT Class C",2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",,MAHARASHTRA,"19.633525","73.129592",red,"#f03"
